fact,explanation,gen_time
"[2, 0, 19, 0, 30, 12, 1, 0, 13, 7, 30, 8, 0, 0, 8, 1, 30, 2, 11, 0, 13, 1, 30, 8, 5, 0, 13, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 599]","[2, 2, 1, 0, 30, 4, 0, 0, 4, 1, 30, 4, 0, 0, 4, 0, 30, 0, 4, 0, 4, 0, 30, 2, 2, 0, 4, 0, 30, 0, 3, 0, 3, -3, 0, 1, 579, 39]",191.98198294639587
"[2, 0, 33, 2, 30, 11, 0, 0, 11, 3, 30, 10, 0, 0, 10, 0, 30, 4, 7, 0, 11, 3, 30, 10, 1, 0, 11, 0, 30, 2, 6, 0, 8, 1, -3, 0, 1, 1019]","[2, 2, 1, 4, 30, 3, 0, 0, 3, 0, 30, 2, 0, 0, 2, 0, 30, 1, 2, 0, 3, 3, 30, 2, 1, 0, 3, 1, 30, 0, 2, 0, 2, -3, 0, 1, 999, 39]",196.123770236969
"[2, 1, 5, 8, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 1, 30, 7, 2, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[2, 2, 1, 2, 30, 4, 0, 0, 4, 0, 30, 4, 0, 0, 4, 0, 30, 0, 4, 0, 4, 0, 30, 3, 1, 0, 4, 0, 30, 2, 1, 0, 3, 22, 0, 0, 159, 39]",204.18157601356506
"[2, 2, 27, 1, 30, 3, 1, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 3, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[2, 2, 1, 1, 30, 3, 1, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 1, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, -3, 0, 1, 819, 39]",191.39682364463806
"[2, 4, 11, 0, 30, 9, 3, 0, 12, 0, 30, 8, 2, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 9, 3, 0, 12, 1, 30, 2, 7, 0, 9, 1, -3, 0, 1, 359]","[2, 2, 1, 0, 30, 9, 3, 0, 12, 0, 30, 8, 2, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 9, 3, 0, 12, 0, 30, 2, 7, 0, 9, -3, 0, 1, 359, 39]",193.928569316864
"[2, 2, 29, 3, 30, 11, 1, 0, 12, 0, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 0, 30, 9, 3, 0, 12, 2, 30, 2, 2, 0, 4, 1, -3, 0, 1, 899]","[2, 2, 1, 3, 30, 11, 1, 0, 12, 0, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 0, 30, 9, 3, 0, 12, 2, 30, 2, 2, 0, 4, -3, 0, 1, 899, 39]",213.2419948577881
"[2, 3, 24, 6, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 2, 7, 0, 9, 0, 30, 4, 5, 0, 9, 1, 30, 1, 4, 0, 5, 1, -3, 0, 1, 739]","[2, 2, 1, 4, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 2, 7, 0, 9, 0, 30, 4, 5, 0, 9, 1, 30, 1, 4, 0, 5, -3, 0, 1, 739, 39]",194.03713536262512
"[2, 2, 6, 3, 30, 9, 0, 0, 9, 6, 30, 4, 0, 0, 4, 0, 30, 3, 6, 0, 9, 2, 30, 7, 2, 0, 9, 1, 30, 1, 4, 0, 5, 0, 22, 0, 0, 199]","[2, 2, 1, 3, 30, 9, 0, 0, 9, 6, 30, 4, 0, 0, 4, 0, 30, 3, 6, 0, 9, 2, 30, 7, 2, 0, 9, 1, 30, 1, 4, 0, 5, 22, 0, 0, 199, 39]",193.19465136528015
"[2, 2, 17, 3, 30, 4, 0, 0, 4, 0, 30, 2, 2, 0, 4, 0, 30, 0, 4, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 1, 2, 0, 3, 1, -3, 0, 1, 519]","[2, 2, 1, 3, 30, 4, 0, 0, 4, 0, 30, 2, 2, 0, 4, 0, 30, 0, 4, 0, 4, 2, 30, 4, 0, 0, 4, 0, 30, 1, 2, 0, 3, -3, 0, 1, 519, 39]",192.53113746643066
"[2, 4, 11, 2, 30, 2, 0, 0, 2, 0, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 0, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[2, 2, 1, 0, 30, 2, 0, 0, 2, 0, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 0, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, -3, 0, 1, 339, 39]",204.6274573802948
