fact,explanation,action,gen_time
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.011149406433105469
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",3,0.001010894775390625
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0009982585906982422
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[1, 1, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.13735342, 1.2118549, 0.066094756, -0.05070495, -0.0030693254, 0.02699608, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.27349225, 0.6699353, 0.036074404, -0.048787188, -0.0062073357, 0.038225863, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.016207123, 0.88798743, 0.010778579, -0.008037621, 0.03504072, -0.06411026, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0009996891021728516
"[0.07115412, 0.90139264, 0.06631954, -0.057624955, 0.032533154, 0.03355948, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.123053454, 0.07608655, -0.03636478, -0.022278888, -0.0033473354, 0.016642312, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.4536357, 1.0458777, -0.05812595, -0.00472754, -0.011822194, -0.0017721495, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.0571867, 0.41604424, -0.035744295, -0.055146024, -0.013918342, 0.028029654, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.6363243, 1.9155093, -0.035079405, 0.09160843, 0.015860345, 0.010139428, 0.0, 0.0]","[0, 1, 1, 0, 0, 0, 0, 0]",2,0.0
"[-0.5555059, 0.45064926, 0.07840475, 0.116505034, 0.12787414, 0.27747315, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0010042190551757812
"[-0.42759037, 0.42846167, -0.11880219, 0.013389777, -0.0424921, -0.04477354, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[-0.070523165, 0.8522278, -0.07594161, -0.07056759, -0.01444758, -0.024165548, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 1, 1]",3,0.0
"[-0.24428701, 0.6803753, -0.05633677, -0.03447679, -0.00631818, 0.009921556, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0010013580322265625
"[-0.13713054, 1.2100695, -0.08257506, 0.026453853, -0.16062933, -0.008334995, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.07198582, 0.46827757, -0.010346884, -0.005078089, -0.013490204, 0.018619034, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.3681321, 0.2930559, 0.039957203, 0.023379887, 0.13450995, 0.04092109, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.07811699, 1.360515, -0.79635227, -0.19751683, 0.039767466, 0.011640172, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0009949207305908203
"[-0.54672074, 0.47548315, -0.022179473, 0.023596702, 0.093992636, -0.26017392, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.3555375, 1.2039119, 0.09867392, -0.027024586, 0.07385186, -0.18936108, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0
"[0.2584323, 0.00970746, 0.13682702, 0.0044037574, 0.08892205, 0.01661848, 1.0, 1.0]","[0, 1, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.24358554, 1.2636701, -0.0103028575, -0.02352546, 0.0039461735, -0.009196745, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0]",3,0.0
"[0.30125207, 2.2380588, -2.6496348, 1.0595067, 1.3557112, 0.33043426, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0009989738464355469
"[0.043959808, 0.13621324, -0.06974963, 0.031298775, -0.124953754, -0.008684377, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.19570485, 0.75212544, -0.033212733, -0.020246172, 0.006177827, 0.041968532, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.23425703, 1.2289426, 0.03832335, -0.05661775, 0.51981914, -0.02077641, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[-0.07999544, 0.79617447, -0.0033436469, 0.011205609, -0.0010109661, 0.023952337, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",2,0.0
"[0.011117649, 1.3799152, 0.06938295, -0.03748898, 0.013380609, 0.015914856, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",3,0.0010030269622802734
"[-0.22303705, 0.84326434, -0.044830404, -0.06913255, -0.023508195, 0.015654951, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.39311084, 0.39677468, 0.061873086, -0.09199885, 0.022290789, -0.00031497114, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[-0.15790233, 0.0714326, 0.083657406, -0.08745418, 0.019129528, 0.040859975, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0
"[0.026107216, 0.51886463, -0.0325702, 0.01949098, -0.052167404, -0.06499456, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 1, 1]",0,0.0010001659393310547
