fact,explanation,action,gen_time
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[0.040882684, 1.4287219, 0.6811972, 0.09675822, -0.030633213, -0.026102746, 0.0, 0.0]",0,8.514647006988525
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[0.023667812, 1.3521268, 0.4053081, -0.3994193, -0.03354095, -0.109381676, 0.0, 0.0]",0,8.514647006988525
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[0.03909359, 1.3633189, 0.6327125, -0.4189776, -0.024988182, 0.009733356, 0.0, 0.0]",0,8.514647006988525
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[0.020149518, 1.4688212, 0.31675786, 0.37279865, -0.0062330277, 0.06099112, 0.0, 0.0]",0,8.514647006988525
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[0.001041603, 1.4033198, 0.0033377118, -0.07355047, 0.0066340887, 0.06928873, 0.0, 0.0]",0,8.514647006988525
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[0.04127731, 1.3856401, 0.6726937, -0.24331942, -0.023794908, 0.011560285, 0.0, 0.0]",2,5.592981576919556
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[0.032665156, 1.40947, 0.532435, -0.065844655, -0.035646856, -0.055405002, 0.0, 0.0]",2,5.592981576919556
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[-0.037031937, 1.3875903, -0.60976654, -0.23893319, 0.0210906, 0.025591457, 0.0, 0.0]",2,5.592981576919556
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[-0.046449184, 1.4276757, -0.7609343, 0.05840198, 0.045488086, 0.06682633, 0.0, 0.0]",2,5.592981576919556
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[0.0066492083, 1.4099374, 0.13046294, -0.06317646, -0.017668625, -0.11171909, 0.0, 0.0]",2,5.592981576919556
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0.04330797, 1.3643731, 0.7050984, -0.4073411, -0.03542266, -0.039130997, 0.0, 0.0]",2,5.527839183807373
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0.045773316, 1.3590913, 0.76198214, -0.4013024, -0.03688769, -0.056802876, 0.0, 0.0]",2,5.527839183807373
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[-0.007801056, 1.4143125, -0.13891779, -0.037855547, 0.010015404, 0.052328277, 0.0, 0.0]",2,5.527839183807373
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0.046243764, 1.3914826, 0.7494273, -0.20997602, -0.025093079, 0.019464958, 0.0, 0.0]",2,5.527839183807373
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0.024976159, 1.3968649, 0.41206527, -0.098328985, -0.028171238, -0.07578908, 0.0, 0.0]",2,5.527839183807373
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0.03477917, 1.4058943, 0.5773836, -0.045210667, -0.02701704, -0.022450631, 0.0, 0.0]",2,5.527839183807373
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.021102715, 1.3660419, 0.3522832, -0.28604499, -0.017912755, -0.055950493, 0.0, 0.0]",3,5.684441328048706
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[-0.009820747, 1.3430308, -0.15795809, -0.450529, 0.008984325, 0.031718664, 0.0, 0.0]",3,5.684441328048706
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.017554665, 1.3827412, 0.28260157, -0.18152057, -0.022485115, -0.09037772, 0.0, 0.0]",3,5.684441328048706
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.03870058, 1.3330688, 0.630256, -0.64307785, -0.036273625, -0.036564253, 0.0, 0.0]",3,5.684441328048706
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.035397053, 1.3502872, 0.60641897, -0.449818, -0.03232761, -0.047682904, 0.0, 0.0]",3,5.684441328048706
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[0.044309426, 1.391434, 0.7149989, -0.2104829, -0.021356165, 0.03812614, 0.0, 0.0]",2,6.625004768371582
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[0.036161233, 1.3914291, 0.5880505, -0.21004277, -0.03523344, -0.034139253, 0.0, 0.0]",2,6.625004768371582
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[-0.008257961, 1.4225763, -0.13256285, 0.08127615, 0.008157688, -0.017360626, 0.0, 0.0]",2,6.625004768371582
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[-0.036061764, 1.4070907, -0.5924245, -0.09420677, 0.03265472, 0.05153212, 0.0, 0.0]",2,6.625004768371582
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[0.01040144, 1.4512166, 0.16235067, 0.23217435, -0.01633171, 0.0009333509, 0.0, 0.0]",2,6.625004768371582
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[0.024303341, 1.3524642, 0.39118856, -0.36216262, -0.044383228, -0.18408711, 0.0, 0.0]",3,5.7984185218811035
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[0.044427298, 1.3323585, 0.76365995, -0.5930048, -0.04342808, -0.10000483, 0.0, 0.0]",3,5.7984185218811035
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[0.030434513, 1.3674167, 0.50804365, -0.35515565, -0.031857643, -0.054921746, 0.0, 0.0]",3,5.7984185218811035
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[0.033626843, 1.3614229, 0.5634015, -0.38274795, -0.029121956, -0.036910556, 0.0, 0.0]",3,5.7984185218811035
"[-0.13735342, 1.2118549, 0.066094756, -0.05070495, -0.0030693254, 0.02699608, 0.0, 0.0]","[0.03344965, 1.3372685, 0.552148, -0.53503203, -0.02703394, -0.05847141, 0.0, 0.0]",0,6.6979217529296875
"[-0.13735342, 1.2118549, 0.066094756, -0.05070495, -0.0030693254, 0.02699608, 0.0, 0.0]","[0.041191578, 1.370395, 0.6680058, -0.3667868, -0.026345765, 0.0048223096, 0.0, 0.0]",0,6.6979217529296875
"[-0.13735342, 1.2118549, 0.066094756, -0.05070495, -0.0030693254, 0.02699608, 0.0, 0.0]","[0.038419914, 1.381761, 0.61826545, -0.28289655, -0.013089021, 0.054134108, 0.0, 0.0]",0,6.6979217529296875
"[-0.13735342, 1.2118549, 0.066094756, -0.05070495, -0.0030693254, 0.02699608, 0.0, 0.0]","[0.003508854, 1.3507769, 0.061426442, -0.48144737, 0.004628966, -0.001315548, 0.0, 0.0]",0,6.6979217529296875
"[-0.13735342, 1.2118549, 0.066094756, -0.05070495, -0.0030693254, 0.02699608, 0.0, 0.0]","[0.042928696, 1.354384, 0.70968103, -0.42616713, -0.035256356, -0.08982601, 0.0, 0.0]",0,6.6979217529296875
"[-0.27349225, 0.6699353, 0.036074404, -0.048787188, -0.0062073357, 0.038225863, 0.0, 0.0]","[0.044621848, 1.43995, 0.7334248, 0.14942212, -0.04852993, -0.08673634, 0.0, 0.0]",0,6.21337103843689
"[-0.27349225, 0.6699353, 0.036074404, -0.048787188, -0.0062073357, 0.038225863, 0.0, 0.0]","[0.043304443, 1.3350511, 0.7237679, -0.5748996, -0.034618232, -0.08049647, 0.0, 0.0]",0,6.21337103843689
"[-0.27349225, 0.6699353, 0.036074404, -0.048787188, -0.0062073357, 0.038225863, 0.0, 0.0]","[0.04245777, 1.376931, 0.6944074, -0.3181922, -0.04078096, -0.05464393, 0.0, 0.0]",0,6.21337103843689
"[0.016207123, 0.88798743, 0.010778579, -0.008037621, 0.03504072, -0.06411026, 0.0, 0.0]","[0.04037838, 1.3701144, 0.6581208, -0.36128417, -0.025502289, 0.0035481069, 0.0, 0.0]",2,6.542515993118286
"[0.016207123, 0.88798743, 0.010778579, -0.008037621, 0.03504072, -0.06411026, 0.0, 0.0]","[0.032999516, 1.3723024, 0.543942, -0.35274607, -0.033258196, -0.06362729, 0.0, 0.0]",2,6.542515993118286
"[0.016207123, 0.88798743, 0.010778579, -0.008037621, 0.03504072, -0.06411026, 0.0, 0.0]","[-0.04540186, 1.4450549, -0.7370348, 0.19735652, 0.035042092, 0.021674918, 0.0, 0.0]",2,6.542515993118286
"[0.016207123, 0.88798743, 0.010778579, -0.008037621, 0.03504072, -0.06411026, 0.0, 0.0]","[0.0013674736, 1.4565799, 0.039657954, 0.2712081, -0.018709332, -0.11725788, 0.0, 0.0]",2,6.542515993118286
"[0.07115412, 0.90139264, 0.06631954, -0.057624955, 0.032533154, 0.03355948, 0.0, 0.0]","[-0.033125114, 1.4173651, -0.540316, -0.018636411, 0.026078103, 0.021508034, 0.0, 0.0]",2,6.123587131500244
"[0.07115412, 0.90139264, 0.06631954, -0.057624955, 0.032533154, 0.03355948, 0.0, 0.0]","[0.04496012, 1.3906953, 0.7339206, -0.20520593, -0.029109575, -0.0016013617, 0.0, 0.0]",2,6.123587131500244
"[0.07115412, 0.90139264, 0.06631954, -0.057624955, 0.032533154, 0.03355948, 0.0, 0.0]","[-0.042094707, 1.4308568, -0.6835651, 0.14654417, 0.029846752, 0.037138395, 0.0, 0.0]",2,6.123587131500244
"[0.07115412, 0.90139264, 0.06631954, -0.057624955, 0.032533154, 0.03355948, 0.0, 0.0]","[0.04285288, 1.3766778, 0.69882435, -0.31888252, -0.036902245, -0.03539219, 0.0, 0.0]",2,6.123587131500244
