fact,explanation,action,gen_time
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[-0.00798397, 1.4012613, -0.40379256, -0.22747612, 0.009157993, 0.09052347, 0.0, 0.0]",0,4.460716247558594
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[0.010092449, 1.4298251, 0.5073534, 0.43607318, -0.011997473, -0.1223493, 0.0, 0.0]",2,76.38232064247131
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0.008404923, 1.4217066, 0.42300424, 0.2545447, -0.00992455, -0.10070318, 0.0, 0.0]",2,63.081987619400024
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[-0.002430439, 1.427474, -0.11570422, 0.35515058, 0.00047616797, -0.01989143, 0.0, 0.0]",2,39.15741801261902
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[0.008900261, 1.3884571, 0.4546463, -0.51201576, -0.011647805, -0.13067515, 0.0, 0.0]",3,88.99369645118713
"[-0.13735342, 1.2118549, 0.066094756, -0.05070495, -0.0030693254, 0.02699608, 0.0, 0.0]","[0.0023900033, 1.4077584, 0.12086918, -0.08309522, -0.002732763, -0.027096966, 0.0, 0.0]",0,6.523037672042847
"[-0.27349225, 0.6699353, 0.036074404, -0.048787188, -0.0062073357, 0.038225863, 0.0, 0.0]","[0.014870644, 1.4186151, 0.7520675, 0.15810367, -0.017037958, -0.1685997, 0.0, 0.0]",0,5.56788969039917
"[0.016207123, 0.88798743, 0.010778579, -0.008037621, 0.03504072, -0.06411026, 0.0, 0.0]","[-0.0071097375, 1.413053, -0.36640877, 0.03455907, 0.010344682, 0.12544517, 0.0, 0.0]",2,56.063475370407104
"[0.07115412, 0.90139264, 0.06631954, -0.057624955, 0.032533154, 0.03355948, 0.0, 0.0]","[-0.007924843, 1.4258733, -0.40146065, 0.34113854, 0.009018513, 0.08858583, 0.0, 0.0]",2,42.80282926559448
"[-0.4536357, 1.0458777, -0.05812595, -0.00472754, -0.011822194, -0.0017721495, 0.0, 0.0]","[-0.012638664, 1.4084975, -0.6347486, -0.06662839, 0.013062678, 0.11399339, 0.0, 0.0]",2,62.40726447105408
"[-0.6363243, 1.9155093, -0.035079405, 0.09160843, 0.015860345, 0.010139428, 0.0, 0.0]","[0.009825135, 1.4058911, 0.49700633, -0.09791004, -0.011265031, -0.1116208, 0.0, 0.0]",0,5.474767208099365
"[-0.070523165, 0.8522278, -0.07594161, -0.07056759, -0.01444758, -0.024165548, 0.0, 0.0]","[-0.0031677247, 1.4141678, -0.16021752, 0.059327308, 0.0036377336, 0.035919327, 0.0, 0.0]",2,59.945383071899414
"[-0.24428701, 0.6803753, -0.05633677, -0.03447679, -0.00631818, 0.009921556, 0.0, 0.0]","[-0.008852005, 1.3885422, -0.44176656, -0.4862273, 0.010966103, 0.115082465, 0.0, 0.0]",2,39.39092659950256
"[-0.13713054, 1.2100695, -0.08257506, 0.026453853, -0.16062933, -0.008334995, 0.0, 0.0]","[0.0077958107, 1.4165723, 0.39425611, 0.11275235, -0.008928667, -0.08838484, 0.0, 0.0]",0,13.639834880828857
"[-0.07811699, 1.360515, -0.79635227, -0.19751683, 0.039767466, 0.011640172, 0.0, 0.0]","[-0.001864338, 1.4100487, -0.09779286, -0.003385672, 0.0016817979, 0.012807347, 0.0, 0.0]",2,71.23053932189941
"[0.3555375, 1.2039119, 0.09867392, -0.027024586, 0.07385186, -0.18936108, 0.0, 0.0]","[0.00939703, 1.4219072, 0.46859318, 0.2555683, -0.011673618, -0.1230011, 0.0, 0.0]",2,55.01089286804199
"[-0.24358554, 1.2636701, -0.0103028575, -0.02352546, 0.0039461735, -0.009196745, 0.0, 0.0]","[-0.0087451935, 1.4159433, -0.44229063, 0.09876929, 0.01003063, 0.09915612, 0.0, 0.0]",2,57.92104172706604
"[0.30125207, 2.2380588, -2.6496348, 1.0595067, 1.3557112, 0.33043426, 0.0, 0.0]","[0.015520382, 1.4061304, 0.7801812, -0.08910776, -0.018461172, -0.18829392, 0.0, 0.0]",2,50.00024914741516
"[-0.19570485, 0.75212544, -0.033212733, -0.020246172, 0.006177827, 0.041968532, 0.0, 0.0]","[0.015981292, 1.4077845, 0.8150036, -0.08247723, -0.020480238, -0.22562924, 0.0, 0.0]",2,47.4522442817688
"[-0.23425703, 1.2289426, 0.03832335, -0.05661775, 0.51981914, -0.02077641, 0.0, 0.0]","[0.01377325, 1.4169611, 0.70176685, 0.121553615, -0.01744637, -0.19029061, 0.0, 0.0]",3,109.07409358024597
"[-0.07999544, 0.79617447, -0.0033436469, 0.011205609, -0.0010109661, 0.023952337, 0.0, 0.0]","[-0.0027636527, 1.4030812, -0.13977921, -0.18702824, 0.0031744568, 0.031335913, 0.0, 0.0]",0,1.9359986782073975
"[0.011117649, 1.3799152, 0.06938295, -0.03748898, 0.013380609, 0.015914856, 0.0, 0.0]","[0.009197903, 1.407634, 0.46517205, -0.08588065, -0.010535937, -0.10428451, 0.0, 0.0]",2,23.168697118759155
"[-0.22303705, 0.84326434, -0.044830404, -0.06913255, -0.023508195, 0.015654951, 0.0, 0.0]","[0.0046691895, 1.4321887, 0.23449306, 0.4943096, -0.0055796667, -0.05719815, 0.0, 0.0]",2,49.56791710853577
"[0.026107216, 0.51886463, -0.0325702, 0.01949098, -0.052167404, -0.06499456, 0.0, 0.0]","[0.010882187, 1.3952831, 0.5500351, -0.34211132, -0.01252864, -0.12453486, 0.0, 0.0]",2,42.579434871673584
"[-0.10365973, 1.0671974, -0.03473298, -0.034565043, -0.0072124735, -0.011421515, 0.0, 0.0]","[0.0011946678, 1.3923142, 0.06041224, -0.4262783, -0.0013626909, -0.013545727, 0.0, 0.0]",3,125.712806224823
