fact,explanation,action,gen_time
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[0.034982014, 1.3499529, 0.59052, -0.45819086, -0.025577806, -0.018303283, 0.0, 0.0]",0,12.284021615982056
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[-0.045107078, 1.4467273, -0.73093826, 0.20392877, 0.033198077, 0.009499375, 0.0, 0.0]",0,12.284021615982056
"[-0.443286, 1.1417785, 0.10940405, 0.018824177, 0.0076647303, 0.011425167, 0.0, 0.0]","[-0.027893353, 1.4230237, -0.44958025, 0.032593388, 0.02049153, 0.0016057104, 0.0, 0.0]",0,12.284021615982056
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[0.020216465, 1.4451556, 0.3498041, 0.18750015, -0.0112792505, -0.081282765, 0.0, 0.0]",2,10.633691787719727
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[-0.025512313, 1.3958089, -0.41298598, -0.17823137, 0.023848861, 0.013876815, 0.0, 0.0]",2,10.633691787719727
"[0.24943963, 1.2462335, 0.25400722, -0.1353353, 0.10719238, -0.07635565, 0.0, 0.0]","[-0.047065258, 1.3645928, -0.7740916, -0.40912715, 0.046892926, 0.08216369, 0.0, 0.0]",2,10.633691787719727
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[0.04697857, 1.3647608, 0.76330966, -0.40801236, -0.033655472, -0.009802762, 0.0, 0.0]",2,10.623294830322266
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[-0.04041052, 1.4687603, -0.65382445, 0.3971352, 0.02496669, 0.025740456, 0.0, 0.0]",2,10.623294830322266
"[-0.23755121, 0.6451654, -0.070526704, -0.040266614, 0.003205998, 0.00585261, 0.0, 0.0]","[-0.035870172, 1.4461687, -0.58879054, 0.19468279, 0.025357129, 0.030525882, 0.0, 0.0]",2,10.623294830322266
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.03551855, 1.3422989, 0.5824418, -0.53217244, -0.039250977, -0.089169525, 0.0, 0.0]",3,9.076102256774902
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.0070061684, 1.3528628, 0.10020818, -0.39046302, -0.017115299, -0.0844495, 0.0, 0.0]",3,9.076102256774902
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.046006966, 1.3397002, 0.7523265, -0.56693745, -0.034875993, -0.03825931, 0.0, 0.0]",3,9.076102256774902
"[-0.0390687, 0.223258, 0.05455504, -0.03573719, 0.091863796, -0.039663833, 0.0, 0.0]","[0.035550117, 1.459502, 0.57961625, 0.29407442, -0.02924986, -0.025375092, 0.0, 0.0]",3,9.076102256774902
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[-0.01161089, 1.4558789, -0.2070384, 0.26593304, 0.032360535, 0.13993147, 0.0, 0.0]",2,11.999628067016602
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[-0.045521162, 1.3544132, -0.756326, -0.48585632, 0.03970933, 0.095444515, 0.0, 0.0]",2,11.999628067016602
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[-0.03804941, 1.4046699, -0.61655575, -0.112292565, 0.03407319, 0.019209638, 0.0, 0.0]",2,11.999628067016602
"[0.026484394, 1.2598821, 0.034412194, -0.024378506, 0.025634242, -0.020026293, 0.0, 0.0]","[0.0141738895, 1.3896767, 0.24752653, -0.1566858, -0.02034722, -0.024724303, 0.0, 0.0]",2,11.999628067016602
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[0.04360733, 1.3457744, 0.7318365, -0.5292714, -0.040439546, -0.062148094, 0.0, 0.0]",3,8.995682954788208
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[-0.0016809463, 1.4067134, -0.025871918, -0.09737081, 0.018644046, 0.040717646, 0.0, 0.0]",3,8.995682954788208
"[0.3993724, 1.0443795, 0.21567182, -0.4197113, -0.8694099, -1.2450675, 0.0, 0.0]","[0.017170142, 1.4643044, 0.2662707, 0.32952976, -0.008576632, 0.057269283, 0.0, 0.0]",3,8.995682954788208
