#{"t_start": 1747857828.8649297, "env_id": "LunarLander-v2"}
r,l,t
-225.927943,83,0.028543
-256.755386,95,0.042778
-314.661178,73,0.417762
-138.866873,56,0.853159
-123.533813,103,1.697392
3.220092,114,2.609495
-346.322119,126,3.630075
-213.862408,76,4.267119
-295.648494,79,4.967213
-80.101865,63,5.521864
-132.574572,82,6.322578
-349.822824,128,7.778753
-271.891113,77,8.681088
-185.712241,94,9.783093
-119.790947,114,11.106443
-279.275833,100,12.288125
-235.753187,102,13.45925
-84.927486,75,14.334209
-112.079109,105,15.554807
-498.957898,90,16.595802
-11.318087,93,17.684748
-171.465571,68,18.470396
-96.547106,66,19.222509
-141.944925,92,20.146909
-146.135711,73,21.028802
-112.119271,94,22.061097
-96.736631,73,22.805337
-127.738511,87,23.661611
-111.265385,74,24.384971
-169.373927,119,25.514523
-126.839474,112,26.548582
-248.641033,99,27.513517
-117.005145,68,28.153461
-307.19213,100,29.090184
-284.142408,75,29.794647
-268.080314,90,30.641236
-149.304463,91,31.49977
-223.030754,124,32.7139
-249.099494,101,33.713921
-109.473777,103,34.68372
-100.074859,76,35.399535
-104.541647,97,36.302241
-139.745898,68,36.964648
-98.88455,79,37.756002
-342.84001,90,38.623783
-290.858431,78,39.363827
-125.670346,93,40.2706
-364.398397,134,41.5965
-104.702412,88,42.463662
-104.50052,99,43.409851
-65.841449,67,44.045951
-386.42518,107,45.07719
-352.463388,102,46.10601
-164.623268,109,47.151404
-114.222695,98,48.06734
-200.730266,77,48.794876
-38.72852,120,49.954784
-139.515103,131,51.235948
-411.477552,102,52.216239
-179.258348,73,52.906474
-251.620178,93,53.782848
-118.739536,109,54.816649
-281.016357,108,55.844466
-248.626904,92,56.742881
-297.551195,96,57.645029
-97.166008,90,58.495336
-98.270591,65,59.100075
-176.441807,112,60.160308
-113.626619,87,60.990296
-151.973612,90,61.865699
-68.43597,101,62.81134
-537.988407,118,63.913756
-408.892955,95,64.807414
-103.809359,94,65.688046
-138.412913,107,66.740641
-87.893588,109,67.761017
-353.746645,101,68.707944
-79.561108,66,69.32643
-37.027099,68,69.964154
-112.402161,82,70.731356
-244.809931,111,71.811418
-153.601589,82,72.580806
-134.790174,87,73.405655
-123.584703,53,73.910952
-283.543059,105,74.893389
-106.889256,91,75.747471
-325.064878,82,76.571262
-106.897964,71,77.241935
-137.695662,77,77.964626
-172.51698,76,78.672743
-82.92951,66,79.293041
-91.890442,99,80.21717
-47.847552,67,80.843969
-66.869912,106,81.874258
-113.420439,63,82.467683
-420.80556,96,83.365249
-109.931111,81,84.123812
